Csapat;Ev;Brand;Sorozat;KartyaSzam;Kartya;Megvan
Utah Jazz;2018 - 2019;Panini Prizm;Prizm;123;Base;TRUE
Utah Jazz;2018 - 2019;Panini Prizm;Prizm;123;Silver;TRUE
Utah Jazz;2018 - 2019;Panini Prizm;Prizm;123;Chice Blue Yellow and Green;FALSE
Utah Jazz;2018 - 2019;Panini Prizm;Prizm;123;Tiger Stripe;FALSE
Utah Jazz;2018 - 2019;Panini Prizm;Prizm;123;Fast Break;FALSE
Utah Jazz;2018 - 2019;Panini Prizm;Prizm;123;Green;FALSE
Utah Jazz;2018 - 2019;Panini Prizm;Prizm;123;Hyper;FALSE
Utah Jazz;2018 - 2019;Panini Prizm;Prizm;123;Pink Ice;FALSE
Utah Jazz;2018 - 2019;Panini Prizm;Prizm;123;Purple Wave;FALSE
Utah Jazz;2018 - 2019;Panini Prizm;Prizm;123;Red Ice;FALSE
Utah Jazz;2018 - 2019;Panini Prizm;Prizm;123;Red White and Blue;FALSE
Utah Jazz;2018 - 2019;Panini Prizm;Prizm;123;Ruby Wave;FALSE
Utah Jazz;2018 - 2019;Panini Prizm;Prizm;123;Red /299;FALSE
Utah Jazz;2018 - 2019;Panini Prizm;Prizm;123;Blue /199;FALSE
Utah Jazz;2018 - 2019;Panini Prizm;Prizm;123;Fast Break Blue /175;FALSE
Utah Jazz;2018 - 2019;Panini Prizm;Prizm;123;Purple Ice / 149;FALSE
Utah Jazz;2018 - 2019;Panini Prizm;Prizm;123;Fast Break Red / 125;FALSE
Utah Jazz;2018 - 2019;Panini Prizm;Prizm;123;Blue Ice / 99;FALSE
Utah Jazz;2018 - 2019;Panini Prizm;Prizm;123;Choice Red / 88;FALSE
Utah Jazz;2018 - 2019;Panini Prizm;Prizm;123;Fast Break Purple / 75;FALSE
Utah Jazz;2018 - 2019;Panini Prizm;Prizm;123;Fast Break Pink / 50;FALSE
Utah Jazz;2018 - 2019;Panini Prizm;Prizm;123;Orange / 49;FALSE
Utah Jazz;2018 - 2019;Panini Prizm;Prizm;123;Pink Pulsar / 42;FALSE
Utah Jazz;2018 - 2019;Panini Prizm;Prizm;123;Purple Pulsar / 35;FALSE
Utah Jazz;2018 - 2019;Panini Prizm;Prizm;123;Green Pulsar / 25;FALSE
Utah Jazz;2018 - 2019;Panini Prizm;Prizm;123;Mojo / 25;FALSE
Utah Jazz;2018 - 2019;Panini Prizm;Prizm;123;Fast Break Bronze / 20;FALSE
Utah Jazz;2018 - 2019;Panini Prizm;Prizm;123;Gold / 10;FALSE
Utah Jazz;2018 - 2019;Panini Prizm;Prizm;123;Choice Green / 8 ;FALSE
Utah Jazz;2018 - 2019;Panini Prizm;Prizm;123;Blue Shimmer / 7;FALSE
Utah Jazz;2018 - 2019;Panini Prizm;Prizm;123;Light Blue Shimmer /7;FALSE
Utah Jazz;2018 - 2019;Panini Prizm;Prizm;123;Red Shimmer /7;FALSE
Utah Jazz;2018 - 2019;Panini Prizm;Prizm;123;Black Gold /5;FALSE
Utah Jazz;2018 - 2019;Panini Prizm;Prizm;123;Fast Break Neon Green /5;FALSE
Utah Jazz;2018 - 2019;Panini Prizm;Prizm;123;Black /1;FALSE
Utah Jazz;2018 - 2019;Panini Prizm;Prizm;123;Choice Nebula /1;FALSE
Utah Jazz;2018 - 2019;Panini Prizm;Panini Prizm Emergent;21;Base;FALSE
Utah Jazz;2018 - 2019;Panini Prizm;Panini Prizm Emergent;21;Silver;FALSE
Utah Jazz;2018 - 2019;Panini Prizm;Panini Prizm Emergent;21;Green;FALSE
Utah Jazz;2018 - 2019;Panini Prizm;Prizm Freshman Phenoms;5;Base;FALSE
Utah Jazz;2018 - 2019;Panini Prizm;Prizm Freshman Phenoms;5;Silver;FALSE
Utah Jazz;2018 - 2019;Panini Prizm;Prizm Freshman Phenoms;5;Green;FALSE
Utah Jazz;2018 - 2019;Panini Prizm;Prizm Sensational Swatches;73;Base;FALSE
Utah Jazz;2018 - 2019;Panini Prizm;Prizm Sensational Swatches;73;Prime /10;FALSE
Utah Jazz;2018 - 2019;Panini Prizm;Prizm Fast Break Rookie AU ;21;Base;FALSE
Utah Jazz;2018 - 2019;Panini Prizm;Prizm Fast Break Rookie AU ;21;Gold /10;FALSE
Utah Jazz;2018 - 2019;Panini Prizm;Prizm Fast Break Rookie AU ;21;Black /1;FALSE
Utah Jazz;2018 - 2019;Panini Prizm;Prizm Sensational Signatures;81;Base;FALSE
Utah Jazz;2018 - 2019;Panini Prizm;Prizm Sensational Signatures;81;Choice;FALSE
Utah Jazz;2018 - 2019;Panini Prizm;Prizm Sensational Signatures;81;Mojo /25;FALSE
Utah Jazz;2018 - 2019;Panini Prizm;Prizm Sensational Signatures;81;Gold /10;FALSE
Utah Jazz;2018 - 2019;Panini Prizm;Prizm Sensational Signatures;81;Choice Green / 8;FALSE
Utah Jazz;2018 - 2019;Panini Prizm;Prizm Sensational Signatures;81;Black /1;FALSE
Utah Jazz;2018 - 2019;Panini Prizm;Prizm Mosaic;33;Base;FALSE
Utah Jazz;2018 - 2019;Panini Prizm;Prizm Mosaic;33;Blue;FALSE
Utah Jazz;2018 - 2019;Panini Prizm;Prizm Mosaic;33;Green;FALSE
Utah Jazz;2018 - 2019;Panini Prizm;Prizm Mosaic;33;Red;FALSE
Utah Jazz;2018 - 2019;Panini Prizm;Prizm Mosaic;33;Orange /99;FALSE
Utah Jazz;2018 - 2019;Panini Prizm;Prizm Mosaic;33;Purple /49;FALSE
Utah Jazz;2018 - 2019;Panini Prizm;Prizm Mosaic;33;Camo /25;FALSE
Utah Jazz;2018 - 2019;Panini Prizm;Prizm Mosaic;33;Gold /10;FALSE
Utah Jazz;2018 - 2019;Panini Prizm;Prizm Mosaic;33;Black /1;FALSE
Utah Jazz;2018 - 2019;Panini Prizm;Prizm Mosaic AU;10;Base;FALSE
Utah Jazz;2018 - 2019;Panini Prizm;Prizm Mosaic AU;10;Gold /10;FALSE
Utah Jazz;2018 - 2019;Panini Prizm;Prizm Mosaic AU;10;Green /5;FALSE
Utah Jazz;2018 - 2019;Panini Prizm;Prizm Mosaic AU;10;Black /1;FALSE
Utah Jazz;2018 - 2019;Panini Spectra;Panini Spectra;96;Silver;FALSE
Utah Jazz;2018 - 2019;Panini Spectra;Panini Spectra;96;White Sparkle;FALSE
Utah Jazz;2018 - 2019;Panini Spectra;Panini Spectra;96;Base /175;FALSE
Utah Jazz;2018 - 2019;Panini Spectra;Panini Spectra;96;Red / 99;FALSE
Utah Jazz;2018 - 2019;Panini Spectra;Panini Spectra;96;Blue Neon /75;FALSE
Utah Jazz;2018 - 2019;Panini Spectra;Panini Spectra;96;Green Neon /49;FALSE
Utah Jazz;2018 - 2019;Panini Spectra;Panini Spectra;96;Pink Neon /25;FALSE
Utah Jazz;2018 - 2019;Panini Spectra;Panini Spectra;96;Gold /10;FALSE
Utah Jazz;2018 - 2019;Panini Spectra;Panini Spectra;96;Flash /9;FALSE
Utah Jazz;2018 - 2019;Panini Spectra;Panini Spectra;96;Wave /9;FALSE
Utah Jazz;2018 - 2019;Panini Spectra;Panini Spectra;96;Neon Orange /5;FALSE
Utah Jazz;2018 - 2019;Panini Spectra;Panini Spectra;96;Nebula /1;FALSE
Utah Jazz;2018 - 2019;Panini Spectra;Rookie Jersey AU;121;Base /299;FALSE
